D:\CarND\IMG\center_2016_11_27_23_18_13_858.jpg, D:\CarND\IMG\left_2016_11_27_23_18_13_858.jpg, D:\CarND\IMG\right_2016_11_27_23_18_13_858.jpg, 0, 0, 0, 2.216133
D:\CarND\IMG\center_2016_11_27_23_18_13_976.jpg, D:\CarND\IMG\left_2016_11_27_23_18_13_976.jpg, D:\CarND\IMG\right_2016_11_27_23_18_13_976.jpg, 0, 0.1285403, 0, 2.23375
D:\CarND\IMG\center_2016_11_27_23_18_14_084.jpg, D:\CarND\IMG\left_2016_11_27_23_18_14_084.jpg, D:\CarND\IMG\right_2016_11_27_23_18_14_084.jpg, 0, 0.3028322, 0, 2.533204
D:\CarND\IMG\center_2016_11_27_23_18_14_194.jpg, D:\CarND\IMG\left_2016_11_27_23_18_14_194.jpg, D:\CarND\IMG\right_2016_11_27_23_18_14_194.jpg, 0, 0.5449044, 0, 3.073951
D:\CarND\IMG\center_2016_11_27_23_18_14_306.jpg, D:\CarND\IMG\left_2016_11_27_23_18_14_306.jpg, D:\CarND\IMG\right_2016_11_27_23_18_14_306.jpg, 0, 0.7191963, 0, 3.962114
D:\CarND\IMG\center_2016_11_27_23_18_14_417.jpg, D:\CarND\IMG\left_2016_11_27_23_18_14_417.jpg, D:\CarND\IMG\right_2016_11_27_23_18_14_417.jpg, 0, 0.748245, 0, 4.811215
D:\CarND\IMG\center_2016_11_27_23_18_14_529.jpg, D:\CarND\IMG\left_2016_11_27_23_18_14_529.jpg, D:\CarND\IMG\right_2016_11_27_23_18_14_529.jpg, 0, 0.7869765, 0, 5.839375
D:\CarND\IMG\center_2016_11_27_23_18_14_642.jpg, D:\CarND\IMG\left_2016_11_27_23_18_14_642.jpg, D:\CarND\IMG\right_2016_11_27_23_18_14_642.jpg, 0, 0.9903171, 0, 7.089841
D:\CarND\IMG\center_2016_11_27_23_18_14_751.jpg, D:\CarND\IMG\left_2016_11_27_23_18_14_751.jpg, D:\CarND\IMG\right_2016_11_27_23_18_14_751.jpg, 0, 1, 0, 8.213315
D:\CarND\IMG\center_2016_11_27_23_18_14_863.jpg, D:\CarND\IMG\left_2016_11_27_23_18_14_863.jpg, D:\CarND\IMG\right_2016_11_27_23_18_14_863.jpg, 0, 1, 0, 9.548281
D:\CarND\IMG\center_2016_11_27_23_18_14_973.jpg, D:\CarND\IMG\left_2016_11_27_23_18_14_973.jpg, D:\CarND\IMG\right_2016_11_27_23_18_14_973.jpg, 0, 1, 0, 10.64904
D:\CarND\IMG\center_2016_11_27_23_18_15_085.jpg, D:\CarND\IMG\left_2016_11_27_23_18_15_085.jpg, D:\CarND\IMG\right_2016_11_27_23_18_15_085.jpg, -0.02187077, 1, 0, 12.08972
D:\CarND\IMG\center_2016_11_27_23_18_15_196.jpg, D:\CarND\IMG\left_2016_11_27_23_18_15_196.jpg, D:\CarND\IMG\right_2016_11_27_23_18_15_196.jpg, -0.03453068, 1, 0, 12.89265
D:\CarND\IMG\center_2016_11_27_23_18_15_307.jpg, D:\CarND\IMG\left_2016_11_27_23_18_15_307.jpg, D:\CarND\IMG\right_2016_11_27_23_18_15_307.jpg, -0.03453068, 1, 0, 14.21299
D:\CarND\IMG\center_2016_11_27_23_18_15_419.jpg, D:\CarND\IMG\left_2016_11_27_23_18_15_419.jpg, D:\CarND\IMG\right_2016_11_27_23_18_15_419.jpg, -0.03920278, 1, 0, 15.36456
D:\CarND\IMG\center_2016_11_27_23_18_15_533.jpg, D:\CarND\IMG\left_2016_11_27_23_18_15_533.jpg, D:\CarND\IMG\right_2016_11_27_23_18_15_533.jpg, -0.05774052, 1, 0, 16.59406
D:\CarND\IMG\center_2016_11_27_23_18_15_646.jpg, D:\CarND\IMG\left_2016_11_27_23_18_15_646.jpg, D:\CarND\IMG\right_2016_11_27_23_18_15_646.jpg, -0.07281186, 1, 0, 17.81712
D:\CarND\IMG\center_2016_11_27_23_18_15_757.jpg, D:\CarND\IMG\left_2016_11_27_23_18_15_757.jpg, D:\CarND\IMG\right_2016_11_27_23_18_15_757.jpg, -0.08547177, 1, 0, 18.86943
D:\CarND\IMG\center_2016_11_27_23_18_15_869.jpg, D:\CarND\IMG\left_2016_11_27_23_18_15_869.jpg, D:\CarND\IMG\right_2016_11_27_23_18_15_869.jpg, -0.08547177, 1, 0, 20.09245
D:\CarND\IMG\center_2016_11_27_23_18_15_983.jpg, D:\CarND\IMG\left_2016_11_27_23_18_15_983.jpg, D:\CarND\IMG\right_2016_11_27_23_18_15_983.jpg, -0.08547177, 1, 0, 21.29638
D:\CarND\IMG\center_2016_11_27_23_18_16_097.jpg, D:\CarND\IMG\left_2016_11_27_23_18_16_097.jpg, D:\CarND\IMG\right_2016_11_27_23_18_16_097.jpg, -0.08200536, 1, 0, 22.30489
D:\CarND\IMG\center_2016_11_27_23_18_16_210.jpg, D:\CarND\IMG\left_2016_11_27_23_18_16_210.jpg, D:\CarND\IMG\right_2016_11_27_23_18_16_210.jpg, -0.07160615, 1, 0, 23.48734
D:\CarND\IMG\center_2016_11_27_23_18_16_322.jpg, D:\CarND\IMG\left_2016_11_27_23_18_16_322.jpg, D:\CarND\IMG\right_2016_11_27_23_18_16_322.jpg, -0.07160615, 1, 0, 24.47507
D:\CarND\IMG\center_2016_11_27_23_18_16_435.jpg, D:\CarND\IMG\left_2016_11_27_23_18_16_435.jpg, D:\CarND\IMG\right_2016_11_27_23_18_16_435.jpg, -0.07160615, 1, 0, 25.61781
D:\CarND\IMG\center_2016_11_27_23_18_16_549.jpg, D:\CarND\IMG\left_2016_11_27_23_18_16_549.jpg, D:\CarND\IMG\right_2016_11_27_23_18_16_549.jpg, -0.07160615, 1, 0, 26.76111
D:\CarND\IMG\center_2016_11_27_23_18_16_663.jpg, D:\CarND\IMG\left_2016_11_27_23_18_16_663.jpg, D:\CarND\IMG\right_2016_11_27_23_18_16_663.jpg, -0.07055115, 1, 0, 27.89214
D:\CarND\IMG\center_2016_11_27_23_18_16_776.jpg, D:\CarND\IMG\left_2016_11_27_23_18_16_776.jpg, D:\CarND\IMG\right_2016_11_27_23_18_16_776.jpg, -0.05201342, 1, 0, 28.82512
D:\CarND\IMG\center_2016_11_27_23_18_16_891.jpg, D:\CarND\IMG\left_2016_11_27_23_18_16_891.jpg, D:\CarND\IMG\right_2016_11_27_23_18_16_891.jpg, -0.03694209, 1, 0, 29.93247
