D:\CarND\IMG\center_2016_11_27_23_24_53_532.jpg, D:\CarND\IMG\left_2016_11_27_23_24_53_532.jpg, D:\CarND\IMG\right_2016_11_27_23_24_53_532.jpg, -0.02413145, 0.4190269, 0, 6.260393
D:\CarND\IMG\center_2016_11_27_23_24_53_646.jpg, D:\CarND\IMG\left_2016_11_27_23_24_53_646.jpg, D:\CarND\IMG\right_2016_11_27_23_24_53_646.jpg, -0.02413145, 0.6998306, 0, 7.028953
D:\CarND\IMG\center_2016_11_27_23_24_53_753.jpg, D:\CarND\IMG\left_2016_11_27_23_24_53_753.jpg, D:\CarND\IMG\right_2016_11_27_23_24_53_753.jpg, -0.02413145, 0.9806342, 0, 8.027983
D:\CarND\IMG\center_2016_11_27_23_24_53_862.jpg, D:\CarND\IMG\left_2016_11_27_23_24_53_862.jpg, D:\CarND\IMG\right_2016_11_27_23_24_53_862.jpg, -0.03920278, 1, 0, 9.369676
D:\CarND\IMG\center_2016_11_27_23_24_53_970.jpg, D:\CarND\IMG\left_2016_11_27_23_24_53_970.jpg, D:\CarND\IMG\right_2016_11_27_23_24_53_970.jpg, -0.05653482, 1, 0, 10.476
D:\CarND\IMG\center_2016_11_27_23_24_54_080.jpg, D:\CarND\IMG\left_2016_11_27_23_24_54_080.jpg, D:\CarND\IMG\right_2016_11_27_23_24_54_080.jpg, -0.05306841, 1, 0, 11.66964
D:\CarND\IMG\center_2016_11_27_23_24_54_191.jpg, D:\CarND\IMG\left_2016_11_27_23_24_54_191.jpg, D:\CarND\IMG\right_2016_11_27_23_24_54_191.jpg, -0.003333022, 1, 0, 12.90759
D:\CarND\IMG\center_2016_11_27_23_24_54_310.jpg, D:\CarND\IMG\left_2016_11_27_23_24_54_310.jpg, D:\CarND\IMG\right_2016_11_27_23_24_54_310.jpg, 0, 1, 0, 14.26993
D:\CarND\IMG\center_2016_11_27_23_24_54_421.jpg, D:\CarND\IMG\left_2016_11_27_23_24_54_421.jpg, D:\CarND\IMG\right_2016_11_27_23_24_54_421.jpg, 0, 1, 0, 15.12827
D:\CarND\IMG\center_2016_11_27_23_24_54_524.jpg, D:\CarND\IMG\left_2016_11_27_23_24_54_524.jpg, D:\CarND\IMG\right_2016_11_27_23_24_54_524.jpg, 0, 1, 0, 16.35661
D:\CarND\IMG\center_2016_11_27_23_24_54_632.jpg, D:\CarND\IMG\left_2016_11_27_23_24_54_632.jpg, D:\CarND\IMG\right_2016_11_27_23_24_54_632.jpg, 0.02654287, 1, 0, 17.62193
D:\CarND\IMG\center_2016_11_27_23_24_54_741.jpg, D:\CarND\IMG\left_2016_11_27_23_24_54_741.jpg, D:\CarND\IMG\right_2016_11_27_23_24_54_741.jpg, 0.0473413, 1, 0, 18.84244
D:\CarND\IMG\center_2016_11_27_23_24_54_849.jpg, D:\CarND\IMG\left_2016_11_27_23_24_54_849.jpg, D:\CarND\IMG\right_2016_11_27_23_24_54_849.jpg, 0.0473413, 1, 0, 19.72626
D:\CarND\IMG\center_2016_11_27_23_24_54_957.jpg, D:\CarND\IMG\left_2016_11_27_23_24_54_957.jpg, D:\CarND\IMG\right_2016_11_27_23_24_54_957.jpg, 0.0438749, 1, 0, 20.84025
D:\CarND\IMG\center_2016_11_27_23_24_55_064.jpg, D:\CarND\IMG\left_2016_11_27_23_24_55_064.jpg, D:\CarND\IMG\right_2016_11_27_23_24_55_064.jpg, 0.0483963, 1, 0, 22.01966
D:\CarND\IMG\center_2016_11_27_23_24_55_174.jpg, D:\CarND\IMG\left_2016_11_27_23_24_55_174.jpg, D:\CarND\IMG\right_2016_11_27_23_24_55_174.jpg, 0.04146349, 1, 0, 22.97604
D:\CarND\IMG\center_2016_11_27_23_24_55_278.jpg, D:\CarND\IMG\left_2016_11_27_23_24_55_278.jpg, D:\CarND\IMG\right_2016_11_27_23_24_55_278.jpg, 0.03226997, 1, 0, 23.96616
